defense,n_groups,activity_acc,attack_acc,attack_acc_lr,attack_acc_rf,attack_acc_mlp,privacy_gain_vs_random,ensemble_gain,group_sizes,group_activity_accs,rounds,seed
none,1,87.377,98.4127,98.4127,96.8254,73.0159,20.6667,0.0,[21],[87.38],15,42
none,2,83.4069,100.0,100.0,100.0,84.375,21.0,5.2257,"[11, 10]","[70.24, 86.12]",15,42
none,3,85.5786,100.0,100.0,100.0,72.2222,21.0,10.4966,"[7, 7, 7]","[77.91, 72.65, 74.69]",15,42
none,5,79.0974,100.0,100.0,100.0,66.6667,21.0,10.1527,"[5, 4, 4, 4, 4]","[82.08, 51.58, 77.16, 71.94, 61.96]",15,42
